=== CALIBRATION PARAMETERS ===
Scale X: 1.000000
Scale Y: 1.234756
Center X: -9.500000
Center Y: -45.685976
Data Points: 502
Timestamp: 20250711_092534

=== RAW AND CALIBRATED DATA ===
Index, Raw_X, Raw_Y, Calibrated_X, Calibrated_Y
260, 152.000000, 39.000000, 161.500000, 93.841463
261, 176.000000, 9.000000, 185.500000, 56.798780
262, 189.000000, -23.000000, 198.500000, 17.286585
263, 191.000000, -53.000000, 200.500000, -19.756098
264, 186.000000, -84.000000, 195.500000, -58.033537
265, 172.000000, -112.000000, 181.500000, -92.606707
266, 150.000000, -132.000000, 159.500000, -117.301829
267, 136.000000, -152.000000, 145.500000, -141.996951
268, 124.000000, -162.000000, 133.500000, -154.344512
269, 101.000000, -169.000000, 110.500000, -162.987805
270, 100.000000, -172.000000, 109.500000, -166.692073
271, 116.000000, -162.000000, 125.500000, -154.344512
272, 140.000000, -146.000000, 149.500000, -134.588415
273, 167.000000, -113.000000, 176.500000, -93.841463
274, 186.000000, -71.000000, 195.500000, -41.981707
275, 189.000000, -21.000000, 198.500000, 19.756098
276, 173.000000, 23.000000, 182.500000, 74.085366
277, -200.000000, 2.000000, -190.500000, 48.155488
278, -204.000000, -18.000000, -194.500000, 23.460366
279, -205.000000, -20.000000, -195.500000, 20.990854
280, -203.000000, -16.000000, -193.500000, 25.929878
281, -205.000000, -2.000000, -195.500000, 43.216463
282, -199.000000, 19.000000, -189.500000, 69.146341
283, -186.000000, 45.000000, -176.500000, 101.250000
284, -171.000000, 68.000000, -161.500000, 129.649390
285, -144.000000, 91.000000, -134.500000, 158.048780
286, -105.000000, 115.000000, -95.500000, 187.682927
287, -55.000000, 124.000000, -45.500000, 198.795732
288, 1.000000, 122.000000, 10.500000, 196.326220
289, 51.000000, 113.000000, 60.500000, 185.213415
290, 101.000000, 89.000000, 110.500000, 155.579268
291, 137.000000, 64.000000, 146.500000, 124.710366
292, 156.000000, 40.000000, 165.500000, 95.076220
293, 175.000000, 10.000000, 184.500000, 58.033537
294, 183.000000, -23.000000, 192.500000, 17.286585
295, 192.000000, -55.000000, 201.500000, -22.225610
296, 184.000000, -82.000000, 193.500000, -55.564024
297, 167.000000, -115.000000, 176.500000, -96.310976
298, 148.000000, -146.000000, 157.500000, -134.588415
299, 119.000000, -166.000000, 128.500000, -159.283537
300, 77.000000, -183.000000, 86.500000, -180.274390
301, 33.000000, -198.000000, 42.500000, -198.795732
302, -7.000000, -189.000000, 2.500000, -187.682927
303, -23.000000, -191.000000, -13.500000, -190.152439
304, -20.000000, -192.000000, -10.500000, -191.387195
305, -20.000000, -189.000000, -10.500000, -187.682927
306, -22.000000, -189.000000, -12.500000, -187.682927
307, -1.000000, -194.000000, 8.500000, -193.856707
308, 30.000000, -192.000000, 39.500000, -191.387195
309, 76.000000, -170.000000, 85.500000, -164.222561
310, 126.000000, -151.000000, 135.500000, -140.762195
311, 162.000000, -120.000000, 171.500000, -102.484756
312, 183.000000, -74.000000, 192.500000, -45.685976
313, 190.000000, -42.000000, 199.500000, -6.173780
314, 183.000000, -6.000000, 192.500000, 38.277439
315, 175.000000, 35.000000, 184.500000, 88.902439
316, 146.000000, 68.000000, 155.500000, 129.649390
317, 108.000000, 93.000000, 117.500000, 160.518293
318, 71.000000, 111.000000, 80.500000, 182.743902
319, 17.000000, 125.000000, 26.500000, 200.030488
320, -40.000000, 124.000000, -30.500000, 198.795732
