=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:06:22
Data Points: 426

CALIBRATION PARAMETERS:
Scale X: 0.929887
Scale Y: 1.081548
Center X: -76.715963
Center Y: -51.836568

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
72: Raw = [X: -53.00, Y: 88.00, Z: -135.00, Pitch: -1.51бу, Roll: -1.21бу] -> Calibrated = [X: 30.75, Y: 143.88]
73: Raw = [X: -54.00, Y: 88.00, Z: -137.00, Pitch: -1.49бу, Roll: -1.19бу] -> Calibrated = [X: 29.84, Y: 143.89]
74: Raw = [X: -54.00, Y: 89.00, Z: -137.00, Pitch: -1.48бу, Roll: -1.16бу] -> Calibrated = [X: 29.80, Y: 145.05]
75: Raw = [X: -49.00, Y: 89.00, Z: -140.00, Pitch: -1.49бу, Roll: -1.14бу] -> Calibrated = [X: 34.55, Y: 145.04]
76: Raw = [X: -51.00, Y: 87.00, Z: -133.00, Pitch: -1.50бу, Roll: -1.11бу] -> Calibrated = [X: 32.55, Y: 143.09]
77: Raw = [X: -50.00, Y: 86.00, Z: -132.00, Pitch: -1.52бу, Roll: -1.08бу] -> Calibrated = [X: 33.50, Y: 142.11]
78: Raw = [X: -55.00, Y: 90.00, Z: -137.00, Pitch: -1.53бу, Roll: -1.04бу] -> Calibrated = [X: 29.00, Y: 146.43]
79: Raw = [X: -49.00, Y: 88.00, Z: -136.00, Pitch: -1.54бу, Roll: -0.99бу] -> Calibrated = [X: 34.57, Y: 144.43]
80: Raw = [X: -50.00, Y: 87.00, Z: -136.00, Pitch: -1.55бу, Roll: -0.96бу] -> Calibrated = [X: 33.66, Y: 143.43]
81: Raw = [X: -55.00, Y: 90.00, Z: -141.00, Pitch: -1.56бу, Roll: -0.94бу] -> Calibrated = [X: 29.16, Y: 146.63]
82: Raw = [X: -54.00, Y: 88.00, Z: -139.00, Pitch: -1.59бу, Roll: -0.96бу] -> Calibrated = [X: 30.10, Y: 144.45]
83: Raw = [X: -52.00, Y: 85.00, Z: -139.00, Pitch: -1.63бу, Roll: -1.01бу] -> Calibrated = [X: 32.06, Y: 141.07]
84: Raw = [X: -58.00, Y: 86.00, Z: -139.00, Pitch: -1.67бу, Roll: -1.09бу] -> Calibrated = [X: 26.58, Y: 141.94]
85: Raw = [X: -54.00, Y: 87.00, Z: -138.00, Pitch: -1.70бу, Roll: -1.13бу] -> Calibrated = [X: 30.32, Y: 142.93]
86: Raw = [X: -52.00, Y: 82.00, Z: -137.00, Pitch: -1.71бу, Roll: -1.16бу] -> Calibrated = [X: 32.17, Y: 137.47]
87: Raw = [X: -58.00, Y: 90.00, Z: -138.00, Pitch: -1.69бу, Roll: -1.14бу] -> Calibrated = [X: 26.59, Y: 146.15]
