=== MAGNETIC COMPASS CALIBRATION RESULTS ===

Algorithm: Horizontal Projection with Simple Scaling
Calibration Time: 2025-07-12 16:12:18
Data Points: 600

CALIBRATION PARAMETERS:
Scale X: 0.928927
Scale Y: 1.082850
Center X: -75.887775
Center Y: -70.072810

RAW DATA (MagX, MagY, MagZ, Pitch, Roll)
Processed Data (CalibratedX, CalibratedY)
================================================================================
80: Raw = [X: -256.00, Y: -106.00, Z: -127.00, Pitch: 1.63бу, Roll: -0.83бу] -> Calibrated = [X: -165.18, Y: -46.56]
81: Raw = [X: -245.00, Y: -119.00, Z: -124.00, Pitch: 1.65бу, Roll: -0.92бу] -> Calibrated = [X: -154.92, Y: -60.79]
82: Raw = [X: -234.00, Y: -130.00, Z: -136.00, Pitch: 1.65бу, Roll: -1.02бу] -> Calibrated = [X: -145.03, Y: -73.17]
83: Raw = [X: -227.00, Y: -148.00, Z: -137.00, Pitch: 1.67бу, Roll: -1.12бу] -> Calibrated = [X: -138.60, Y: -92.93]
84: Raw = [X: -218.00, Y: -159.00, Z: -139.00, Pitch: 1.69бу, Roll: -1.24бу] -> Calibrated = [X: -130.33, Y: -105.17]
85: Raw = [X: -202.00, Y: -172.00, Z: -146.00, Pitch: 1.71бу, Roll: -1.36бу] -> Calibrated = [X: -115.71, Y: -119.72]
86: Raw = [X: -196.00, Y: -183.00, Z: -154.00, Pitch: 1.72бу, Roll: -1.47бу] -> Calibrated = [X: -110.40, Y: -132.13]
87: Raw = [X: -184.00, Y: -188.00, Z: -155.00, Pitch: 1.73бу, Roll: -1.58бу] -> Calibrated = [X: -99.31, Y: -137.89]
88: Raw = [X: -168.00, Y: -189.00, Z: -163.00, Pitch: 1.73бу, Roll: -1.71бу] -> Calibrated = [X: -84.68, Y: -139.59]
89: Raw = [X: -157.00, Y: -199.00, Z: -165.00, Pitch: 1.73бу, Roll: -1.83бу] -> Calibrated = [X: -74.53, Y: -150.84]
90: Raw = [X: -146.00, Y: -206.00, Z: -171.00, Pitch: 1.74бу, Roll: -1.94бу] -> Calibrated = [X: -64.50, Y: -158.97]
91: Raw = [X: -134.00, Y: -214.00, Z: -177.00, Pitch: 1.77бу, Roll: -2.06бу] -> Calibrated = [X: -53.60, Y: -168.24]
92: Raw = [X: -120.00, Y: -221.00, Z: -177.00, Pitch: 1.79бу, Roll: -2.19бу] -> Calibrated = [X: -40.67, Y: -176.23]
93: Raw = [X: -107.00, Y: -221.00, Z: -180.00, Pitch: 1.77бу, Roll: -2.31бу] -> Calibrated = [X: -28.64, Y: -176.75]
94: Raw = [X: -99.00, Y: -226.00, Z: -183.00, Pitch: 1.75бу, Roll: -2.43бу] -> Calibrated = [X: -21.24, Y: -182.69]
95: Raw = [X: -81.00, Y: -224.00, Z: -190.00, Pitch: 1.74бу, Roll: -2.55бу] -> Calibrated = [X: -4.67, Y: -181.27]
96: Raw = [X: -72.00, Y: -232.00, Z: -190.00, Pitch: 1.70бу, Roll: -2.67бу] -> Calibrated = [X: 3.78, Y: -190.34]
